Ticker,cumulative_return
TRENT,2.0272336359292993
BEL,1.1212235649546867
M&M,1.071325450295605
BAJAJ-AUTO,0.7741446574419688
BHARTIARTL,0.717992227270239
POWERGRID,0.6767852699676522
SUNPHARMA,0.6084035119154332
BPCL,0.6018492574950995
NTPC,0.5711521926053282
TECHM,0.5531508310372455
HEROMOTOCO,0.5502595029830706
EICHERMOT,0.5191408332698593
HCLTECH,0.5079232693911624
WIPRO,0.5005906286914297
SHRIRAMFIN,0.4982520699172066
ADANIPORTS,0.47802626446496155
APOLLOHOSP,0.4458517059136291
SBIN,0.4407662429378483
HINDALCO,0.409336503133781
INFY,0.4047557508400126
ICICIBANK,0.39822766807067356
GRASIM,0.39626037664884617
ULTRACEMCO,0.3571995299142763
COALINDIA,0.3502364258927062
JSWSTEEL,0.3490924149354693
ONGC,0.3154793786823782
TCS,0.2744058967468803
TATAMOTORS,0.2601561255376772
LT,0.24460332262632645
CIPLA,0.23746097814775746
TATASTEEL,0.22452830188678918
HDFCBANK,0.1838589352322828
AXISBANK,0.17555052479934719
DRREDDY,0.13575363091397374
SBILIFE,0.11159761984955696
HDFCLIFE,0.1099104910894253
ITC,0.10873627657089524
BRITANNIA,0.10257430696108827
RELIANCE,0.10159310524941456
MARUTI,0.08171845362639174
TATACONSUM,0.05956998408178715
TITAN,0.042635658914730756
KOTAKBANK,0.021485734168404047
BAJAJFINSV,0.01780207902851605
ADANIENT,0.004825688900916614
HINDUNILVR,-0.010921225604207607
NESTLEIND,-0.05863182631206543
BAJFINANCE,-0.10545510512721112
ASIANPAINT,-0.15755396909236175
INDUSINDBK,-0.30322490576574
